n,density,exhaustive_weight,exhaustive_time,exhaustive_ops,exhaustive_configs,greedy_weight,greedy_time,greedy_ops,precision
11,0.75,1.0592217855766544,3.8080215454101562,2047,2047,1.0592217855766544,0.007152557373046875,11,1.0
12,0.125,71.38358044284223,5.284786224365234,4095,4095,115.82065618668469,0.026226043701171875,77,1.6225111638862637
12,0.25,31.008904911783272,6.04701042175293,4095,4095,32.681275512053894,0.019073486328125,50,1.0539319464853183
12,0.5,5.24121033682823,7.456064224243164,4095,4095,6.913580937098854,0.0171661376953125,33,1.319080993281158
12,0.75,5.24121033682823,8.06879997253418,4095,4095,6.913580937098854,0.01811981201171875,33,1.319080993281158
13,0.125,70.45698618823194,10.692834854125977,8191,8191,116.40984163057719,0.029802322387695312,88,1.6522114828979233
13,0.25,37.62471297197025,12.620925903320312,8191,8191,43.74520758586762,0.024080276489257812,63,1.1626721941628373
13,0.5,10.262643609617836,15.36107063293457,8191,8191,10.262643609617836,0.019073486328125,36,1.0
13,0.75,6.08065505836626,17.297029495239258,8191,8191,6.08065505836626,0.015974044799804688,25,1.0
14,0.125,53.302725238621534,22.84383773803711,16383,16383,87.97463143156135,0.030994415283203125,95,1.6504715478940954
14,0.25,27.79682332395697,27.29320526123047,16383,16383,27.79682332395697,0.02288818359375,60,1.0
14,0.5,13.930579341929485,33.75387191772461,16383,16383,23.654674328236503,0.028848648071289062,60,1.6980395249635152
14,0.75,5.542106435055443,37.04476356506348,16383,16383,5.542106435055443,0.015974044799804688,27,1.0
15,0.125,52.80177039178385,48.233985900878906,32767,32767,128.98808636216495,0.03790855407714844,119,2.442874271167165
15,0.25,15.950083557708433,58.97688865661621,32767,32767,15.950083557708433,0.02193450927734375,54,1.0
15,0.5,9.39919908052865,71.89607620239258,32767,32767,11.541799099612797,0.022172927856445312,42,1.2279555950168937
15,0.75,4.990914622433014,78.86600494384766,32767,32767,4.990914622433014,0.016927719116210938,29,1.0
16,0.125,46.53860119833098,102.03814506530762,65535,65535,57.860566084627145,0.036716461181640625,115,1.2432811600427347
16,0.25,27.442487627620743,123.81410598754883,65535,65535,40.43682311418753,0.03790855407714844,100,1.4735115731085562
16,0.5,9.172903173684588,154.73508834838867,65535,65535,9.172903173684588,0.028133392333984375,45,1.0
16,0.75,4.990914622433014,169.30913925170898,65535,65535,4.990914622433014,0.019311904907226562,31,1.0
17,0.125,49.721539349328836,215.0719165802002,131071,131071,88.49437059608417,0.04482269287109375,138,1.7797994944273323
17,0.25,13.268934915313467,262.2511386871338,131071,131071,16.86407132135161,0.030994415283203125,75,1.2709438571357412
17,0.5,9.39919908052865,323.3640193939209,131071,131071,9.39919908052865,0.027179718017578125,48,1.0
17,0.75,4.990914622433014,354.1240692138672,131071,131071,4.990914622433014,0.019311904907226562,33,1.0
18,0.125,70.48292783303363,451.33209228515625,262143,262143,103.28600106226133,0.04673004150390625,150,1.4654045204667805
18,0.25,33.0231831585094,550.9717464447021,262143,262143,49.712088066547366,0.04601478576660156,116,1.5053693590933428
18,0.5,6.91368042820053,675.4438877105713,262143,262143,8.586051028471154,0.029802322387695312,51,1.2418929566731365
18,0.75,5.267507006308765,742.9943084716797,262143,262143,8.586051028471154,0.033855438232421875,51,1.63000277326406
19,0.125,47.53764960393552,1007.6320171356201,524287,524287,63.95700243886581,0.050067901611328125,145,1.3453968164545302
19,0.25,27.20276909791563,1197.591781616211,524287,524287,38.82776522121758,0.054836273193359375,124,1.4273460573612227
19,0.5,8.003420864133776,1543.675184249878,524287,524287,9.675791464404401,0.034809112548828125,54,1.2089569733568708
19,0.75,5.267507006308765,1702.8260231018066,524287,524287,5.267507006308765,0.027179718017578125,37,1.0
